Delhi,Kolkata,Mumbai,Chennai
72.55,74.63,78.17,75.35
72.63,74.71,78.25,75.43
72.71,74.79,78.33,75.52
72.78,74.86,78.4,75.59
72.78,74.86,78.4,75.59
72.78,74.86,78.4,75.59
72.71,74.79,78.33,75.52
72.76,74.84,78.38,75.57
72.81,74.89,78.43,75.62
72.86,74.93,78.48,75.67
72.86,74.93,78.48,75.67
72.86,74.93,78.48,75.67
72.86,74.93,78.48,75.67
72.81,74.89,78.43,75.62
72.81,74.89,78.43,75.62
72.86,74.93,78.48,75.67
72.86,74.93,78.48,75.67
72.86,74.88,78.43,75.62
72.86,74.88,78.43,75.62
72.86,74.88,78.43,75.62
72.86,74.88,78.43,75.62
72.91,74.93,78.48,75.67
72.91,74.93,78.48,75.67
72.85,74.87,78.42,75.61
72.85,74.87,78.42,75.61
72.8,74.82,78.37,75.56
72.8,74.82,78.37,75.56
72.8,74.82,78.37,75.56
72.86,74.88,78.43,75.62
72.86,74.88,78.43,75.62
72.92,74.94,78.49,75.68
72.98,75,78.55,75.75
72.93,74.95,78.5,75.69
72.93,74.95,78.5,75.69
72.93,74.95,78.5,75.69
73,75.02,78.57,75.77
73,75.02,78.57,75.77
72.95,74.97,78.52,75.71
72.95,74.97,78.52,75.71
72.95,74.97,78.52,75.71
72.95,74.97,78.52,75.71
73.02,75.04,78.59,75.79
73.02,75.04,78.59,75.79
73.08,75.1,78.65,75.85
73.08,75.1,78.65,75.85
73.08,75.1,78.65,75.85
73.13,75.15,78.7,75.9
73.13,75.15,78.7,75.9
73.07,75.08,78.64,75.84
73.07,75.08,78.64,75.84
73.13,75.15,78.71,75.92
73.07,75.11,78.66,75.87
73,75.04,78.59,75.79
73,75.04,78.59,75.79
73,75.04,78.59,75.79
72.84,74.88,78.44,75.63
72.63,74.68,78.23,75.4
72.15,74.21,77.75,74.9
71.73,73.79,77.34,74.46
71.43,73.5,77.04,74.14
71.18,73.25,76.79,73.88
71.18,73.25,76.79,73.88
71.18,73.25,76.79,73.88
71.1,73.17,76.71,73.79
71.03,73.11,76.64,73.72
71.03,73.11,76.64,73.72
71.12,73.19,76.73,73.82
71.17,73.24,76.78,73.87
71.17,73.24,76.78,73.87
71.25,73.32,76.86,73.95
71.39,73.46,77,74.1
71.53,73.6,77.14,74.25
71.67,73.73,77.28,74.39
71.77,73.83,77.38,74.5
71.86,73.92,77.47,74.59
71.86,73.92,77.47,74.59
71.8,73.86,77.41,74.53
71.73,73.79,77.34,74.46
71.62,73.74,77.28,74.39
71.5,73.71,77.16,74.27
71.3,73.54,76.98,74.08
71.23,73.47,76.91,74.01
71.23,73.47,76.91,74.01
71.07,73.31,76.76,73.84
70.94,73.19,76.63,73.7
70.72,72.97,76.41,73.47
70.56,72.81,76.25,73.3
70.43,72.68,76.12,73.17
70.43,72.68,76.12,73.17
70.43,72.68,76.12,73.17
70.35,72.61,76.04,73.08
70.18,72.44,75.88,72.9
69.99,72.25,75.69,72.7
69.93,72.19,75.63,72.64
69.93,72.19,75.63,72.64
69.93,72.19,75.63,72.64
69.93,72.19,75.63,72.64
69.93,72.19,75.63,72.64
69.93,72.19,75.63,72.64
69.93,72.19,75.63,72.64
69.98,72.24,75.68,72.69
70.05,72.31,75.75,72.77
70.05,72.31,75.75,72.77
70.05,72.31,75.75,72.77
70.12,72.38,75.82,72.84
70.17,72.43,75.87,72.89
70.28,72.54,75.97,73.01
70.37,72.63,76.06,73.1
70.44,72.67,76.11,73.15
70.51,72.75,76.15,73.19
70.51,72.75,76.15,73.19
70.51,72.75,76.15,73.19
70.51,72.75,76.15,73.19
72.96,75.15,78.57,75.76
72.96,75.15,78.57,75.76
72.96,75.15,78.57,75.76
72.9,75.12,78.52,75.7
72.9,75.12,78.52,75.7
72.9,75.12,78.52,75.7
72.9,75.12,78.52,75.7
72.99,75.25,78.61,75.8
73.08,75.38,78.69,75.89
73.21,75.55,78.82,76.03
73.27,75.65,78.88,76.09
73.27,75.65,78.88,76.09
73.35,75.77,78.96,76.18
73.35,75.77,78.96,76.18
73.35,75.77,78.96,76.18
73.35,75.77,78.96,76.18
73.35,75.77,78.96,76.18
73.41,75.87,79.02,76.24
73.41,75.87,79.02,76.24
73.35,75.85,78.96,76.18
73.29,75.83,78.9,76.11
73.24,75.81,78.85,76.06
73.14,75.75,78.75,75.96
72.99,75.63,78.61,75.8
72.86,75.5,78.48,75.66
72.86,75.5,78.48,75.66
72.8,75.44,78.42,75.6
72.69,75.37,78.34,75.52
72.62,75.3,78.27,75.44
72.52,75.21,78.17,75.34
72.37,75.06,78.02,75.18
72.28,74.97,77.93,75.08
72.28,74.97,77.93,75.08
72.23,74.92,77.89,75.03
72.08,74.78,77.74,74.87
72.08,74.78,77.74,74.87
71.99,74.69,77.65,74.78
71.99,74.69,77.65,74.78
71.99,74.69,77.65,74.78
71.99,74.69,77.65,74.78
71.99,74.69,77.65,74.78
71.99,74.69,77.65,74.78
71.99,74.69,77.65,74.78
71.91,74.61,77.57,74.69
71.84,74.54,77.5,74.62
71.84,74.54,77.5,74.62
71.84,74.54,77.5,74.62
71.84,74.54,77.5,74.62
71.84,74.54,77.5,74.62
71.92,74.62,77.58,74.7
71.99,74.69,77.65,74.78
72.07,74.77,77.73,74.86
72.07,74.77,77.73,74.86
72.07,74.77,77.73,74.86
72.01,74.71,77.67,74.8
72.01,74.71,77.67,74.8
72.01,74.71,77.67,74.8
72.01,74.71,77.67,74.8
72.01,74.71,77.67,74.8
72.01,74.71,77.67,74.8
72.01,74.71,77.67,74.8
71.95,74.66,77.62,74.75
71.86,74.58,77.54,74.66
71.77,74.5,77.46,74.57
71.71,74.44,77.4,74.51
71.71,74.44,77.4,74.51
71.76,74.49,77.45,74.56
71.76,74.49,77.45,74.56
71.82,74.55,77.5,74.63
71.89,74.62,77.57,74.7
71.97,74.7,77.65,74.78
72.03,74.76,77.71,74.85
72.03,74.76,77.71,74.85
72.17,74.89,77.85,74.99
72.42,75.14,78.1,75.26
72.71,75.43,78.39,75.56
73.06,75.77,78.73,75.93
73.35,76.05,79.02,76.24
73.62,76.32,79.29,76.52
73.91,76.6,79.57,76.83
74.13,76.82,79.79,77.06
74.13,76.82,79.79,77.06
74.19,76.88,79.85,77.12
74.34,77.03,80,77.28
74.34,77.03,80,77.28
74.34,77.03,80,77.28
74.42,77.1,80.08,77.36
74.61,77.23,80.21,77.5
74.61,77.23,80.21,77.5
74.51,77.14,80.11,77.4
74.33,76.96,79.93,77.21
74.04,76.67,79.65,76.9
73.89,76.53,79.5,76.74
73.76,76.4,79.37,76.61
73.59,76.23,79.2,76.43
73.59,76.23,79.2,76.43
73.54,76.18,79.15,76.38
73.42,76.07,79.03,76.25
73.32,75.97,78.93,76.14
73.32,75.97,78.93,76.14
73.32,75.97,78.93,76.14
73.27,75.92,78.88,76.09
73.27,75.92,78.88,76.09
73.27,75.92,78.88,76.09
73.27,75.92,78.88,76.09
73.27,75.92,78.88,76.09
73.27,75.92,78.88,76.09
73.27,75.92,78.88,76.09
73.22,75.87,78.83,76.04
73.22,75.87,78.83,76.04
73.17,75.82,78.78,75.99
73.06,75.71,78.68,75.87
72.98,75.63,78.6,75.79
72.98,75.63,78.6,75.79
72.98,75.63,78.6,75.79
72.92,75.57,78.54,75.72
72.92,75.57,78.54,75.72
72.92,75.57,78.54,75.72
72.86,75.55,78.51,75.69
72.81,75.52,78.48,75.67
72.74,75.45,78.42,75.59
72.65,75.37,78.33,75.5
72.6,75.32,78.28,75.45
72.6,75.32,78.28,75.45
72.6,75.32,78.28,75.45
72.7,75.41,78.38,75.55
72.85,75.56,78.52,75.71
73.05,75.76,78.72,75.92
73.2,75.91,78.87,76.08
73.3,76,78.97,76.18
73.3,76,78.97,76.18
73.45,76.15,79.12,76.34
73.63,76.33,79.3,76.53
73.77,76.47,79.44,76.68
73.89,76.58,79.55,76.81
74.05,76.74,79.71,76.97
74.2,76.89,79.86,77.13
74.2,76.89,79.86,77.13
74.2,76.89,79.86,77.13
74.35,77.04,80.01,77.29
74.44,77.12,80.1,77.38
74.54,77.22,80.2,77.49
74.66,77.34,80.32,77.62
74.76,77.44,80.42,77.72
74.76,77.44,80.42,77.72
74.76,77.44,80.42,77.72
74.81,77.49,80.46,77.77
74.86,77.54,80.51,77.83
74.91,77.61,80.59,77.91
74.91,77.61,80.59,77.91
74.91,77.61,80.59,77.91
74.91,77.61,80.59,77.91
74.91,77.61,80.59,77.91
74.86,77.54,80.51,77.83
74.86,77.54,80.51,77.83
74.95,77.62,80.6,77.92
75,77.67,80.65,77.97
75,77.67,80.65,77.97
75,77.67,80.65,77.97
74.95,77.61,80.6,77.92
74.89,77.55,80.54,77.86
74.84,77.5,80.49,77.81
74.74,77.4,80.4,77.7
74.69,77.35,80.35,77.65
74.63,77.29,80.29,77.58
74.63,77.29,80.29,77.58
74.63,77.29,80.29,77.58
74.63,77.29,80.29,77.58
74.63,77.29,80.29,77.58
74.63,77.29,80.29,77.58
74.63,77.29,80.29,77.58
74.63,77.29,80.29,77.58
74.63,77.29,80.29,77.58
74.68,77.34,80.34,77.64
74.74,77.4,80.4,77.7
74.74,77.4,80.4,77.7
74.88,77.54,80.53,77.85
75.04,77.7,80.69,78.02
75.14,77.79,80.79,78.12
